Datasource Name,Datasource ID,Table Schema,Table Name,Database Name,Database Connection Type
QBR_CUSTOMER_ROI_PERIOD_DATA | Project : QBR Datasources,21a6c9a2-6e7e-4a42-c248-d19964190d89,VISUALIZATION,VW_CUSTOMER_ROI_PERIOD_DATA_WITH_LABELS,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset,222e84fb-3b55-2cbc-f33e-c81753f107f4,VISUALIZATION,VW_REALIZED_SAVINGS_WITH_EMPLOYEE_DATA,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Dataset,222e84fb-3b55-2cbc-f33e-c81753f107f4,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Opportunity Dataset - Child Company Location | Project : QBR Datasources,228a755c-140a-b8de-8d79-ebd85a6f3453,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Member Savings Opportunity Dataset - Child Company Location | Project : QBR Datasources,228a755c-140a-b8de-8d79-ebd85a6f3453,VISUALIZATION,VW_MEMBER_OPPORTUNITIES_WITH_BEST_SAVER_IDENTIFIED_WTIH_CHILD_COMPANY_LOCATION,TRANSFORMED_LAYER,snowflake
QBR - Primary Data Source - Data Availability - KPA,2351bec2-0c47-6eec-94dd-c020867c88fc,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY_WITH_ROI_PERIODS,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,2363cbfc-b4c0-4601-026c-367b862cca1c,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER,snowflake
QBR - Customer Lives Datasource,2363cbfc-b4c0-4601-026c-367b862cca1c,VISUALIZATION,VW_CUSTOMER_TOTAL_LIVES,TRANSFORMED_LAYER,snowflake
QBR - Login and Registration Data - Test,23b5e7d7-725c-c852-4c23-29c1eb34150a,VISUALIZATION,VW_MONTHLY_LOGIN_AND_REGISTRATION_DATA,TRANSFORMED_LAYER_TEST,snowflake
QBR - Login and Registration Data - Test,23b5e7d7-725c-c852-4c23-29c1eb34150a,VISUALIZATION,VW_CUSTOMER_DATE_AVAILABILITY,TRANSFORMED_LAYER_TEST,snowflake
